date,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,mean_anomaly,max_anomaly,centroid_lat,centroid_lon,month,year,day_of_year,saison
2005-07-06,212,37.857142857142854,26.274595,46.45107,8.297496,2.9465458,4.681926,13.525944,-14.211085,7,2005,187,Saison_des_pluies
2020-09-06,211,37.67857142857143,35.5568,56.510033,10.849963,4.3015194,7.953553,14.968602,-14.886848,9,2020,250,Saison_des_pluies
2013-07-21,211,37.67857142857143,19.93558,53.89398,7.534895,3.1821249,5.830475,15.615521,-14.113152,7,2013,202,Saison_des_pluies
2000-10-18,210,37.5,8.244093,23.619759,1.170729,4.460952,8.919782,15.015476,-14.341666,10,2000,292,Saison_des_pluies
1981-10-15,210,37.5,13.115453,30.330772,1.8022778,3.55899,7.313591,14.035714,-14.366667,10,1981,288,Saison_des_pluies
2009-09-08,210,37.5,27.358099,57.791245,13.122982,3.5249743,6.3417215,15.078571,-13.082143,9,2009,251,Saison_des_pluies
2021-08-30,209,37.32142857142857,30.268358,63.14658,13.757354,2.3743145,3.331964,14.129785,-14.4491625,8,2021,242,Saison_des_pluies
2006-06-03,208,37.142857142857146,13.020323,28.772942,1.2908533,5.228033,11.051264,13.924279,-14.801682,6,2006,154,Saison_des_pluies
1997-06-18,208,37.142857142857146,9.722,24.123325,1.4969816,4.62932,10.626711,15.31851,-14.335337,6,1997,169,Saison_des_pluies
1988-07-28,208,37.142857142857146,32.832077,66.21385,12.807626,3.8247592,7.978065,14.680288,-14.460337,7,1988,210,Saison_des_pluies
2012-08-18,207,36.964285714285715,31.176178,53.567314,14.135831,3.764437,7.38653,15.547706,-13.952294,8,2012,231,Saison_des_pluies
1988-09-21,206,36.78571428571429,28.417171,69.99508,11.185058,4.52524,14.060601,15.441748,-13.288835,9,1988,265,Saison_des_pluies
2020-09-09,206,36.78571428571429,32.176167,54.400345,11.645613,4.437285,9.81574,15.0873785,-14.058252,9,2020,253,Saison_des_pluies
2000-10-14,206,36.78571428571429,14.967616,54.904613,1.9507633,4.229179,9.388509,14.150485,-13.932039,10,2000,288,Saison_des_pluies
2020-06-15,206,36.78571428571429,16.253658,40.404713,1.1133902,4.6629252,7.3686914,15.165049,-12.720874,6,2020,167,Saison_des_pluies
1999-10-27,206,36.78571428571429,6.8927083,26.405664,0.5673873,3.3705516,7.2095203,14.196602,-13.665049,10,1999,300,Saison_des_pluies
1987-09-30,206,36.78571428571429,15.987921,31.554642,5.2825146,3.1051114,6.181593,15.127427,-14.419903,9,1987,273,Saison_des_pluies
1981-08-31,206,36.78571428571429,34.939713,81.26645,11.748717,2.962623,5.871769,14.23665,-13.451456,8,1981,243,Saison_des_pluies
2002-10-09,205,36.607142857142854,10.417589,23.800165,1.7116342,5.496772,14.54331,15.607926,-14.368902,10,2002,282,Saison_des_pluies
2021-06-26,205,36.607142857142854,16.52828,33.989017,3.33797,4.5278654,9.120937,14.920122,-15.161586,6,2021,177,Saison_des_pluies
2018-09-18,205,36.607142857142854,25.125805,45.556873,9.140563,3.4694166,5.7878675,15.277439,-14.168902,9,2018,261,Saison_des_pluies
1981-07-30,205,36.607142857142854,27.060354,57.180325,12.105063,3.080978,5.466739,14.775,-14.582317,7,1981,211,Saison_des_pluies
2019-10-25,204,36.42857142857142,6.448668,14.817036,1.1559312,6.679866,14.642497,15.015931,-13.221814,10,2019,298,Saison_des_pluies
2005-09-26,204,36.42857142857142,36.37932,79.86,9.705179,4.306049,8.36392,13.625,-12.932598,9,2005,269,Saison_des_pluies
2016-07-21,204,36.42857142857142,24.419746,68.08245,7.933411,3.2947626,5.777882,15.132353,-14.886029,7,2016,203,Saison_des_pluies
2022-10-08,203,36.25,15.728732,44.31986,2.7521544,3.7060676,6.9464464,14.325739,-14.920567,10,2022,281,Saison_des_pluies
